time,.Header.seq,.Header.stamp.secs,.Header.stamp.nsecs,.Header.frame_id,.Latitude,.Longitude,.HDOP,.Altitude,.UTM_easting,.UTM_northing,.UTC,.Zone,.Letter
2023/03/24/14:44:22.330189,0,67462,0,GPS1_FRAME,42.337465,-71.08960666666667,1.0,15.7,327857.50804257963,4689360.3231027555,184422.0,19,T
2023/03/24/14:44:23.330289,0,67463,0,GPS1_FRAME,42.337465,-71.08960666666667,1.0,15.7,327857.50804257963,4689360.3231027555,184423.0,19,T
2023/03/24/14:44:24.330325,0,67464,0,GPS1_FRAME,42.337465,-71.08960666666667,1.0,15.7,327857.50804257963,4689360.3231027555,184424.0,19,T
2023/03/24/14:44:25.331192,0,67465,0,GPS1_FRAME,42.337465,-71.08960666666667,1.0,15.7,327857.50804257963,4689360.3231027555,184425.0,19,T
2023/03/24/14:44:26.330359,0,67466,0,GPS1_FRAME,42.337465,-71.08960833333335,1.0,15.7,327857.370736275,4689360.326476881,184426.0,19,T
2023/03/24/14:44:27.330949,0,67467,0,GPS1_FRAME,42.337465,-71.08960833333335,1.0,15.7,327857.370736275,4689360.326476881,184427.0,19,T
2023/03/24/14:44:28.331345,0,67468,0,GPS1_FRAME,42.337465,-71.08960833333335,1.0,15.7,327857.370736275,4689360.326476881,184428.0,19,T
2023/03/24/14:44:29.331166,0,67469,0,GPS1_FRAME,42.337465,-71.08960833333335,1.0,15.7,327857.370736275,4689360.326476881,184429.0,19,T
2023/03/24/14:44:30.331474,0,67470,0,GPS1_FRAME,42.337465,-71.08960833333335,1.0,15.7,327857.370736275,4689360.326476881,184430.0,19,T
2023/03/24/14:44:31.331934,0,67471,0,GPS1_FRAME,42.337465,-71.08960833333335,1.0,15.7,327857.370736275,4689360.326476881,184431.0,19,T
2023/03/24/14:44:32.331239,0,67472,0,GPS1_FRAME,42.337465,-71.08960833333335,1.0,15.7,327857.370736275,4689360.326476881,184432.0,19,T
2023/03/24/14:44:33.331906,0,67473,0,GPS1_FRAME,42.337465,-71.08960833333335,1.0,15.7,327857.370736275,4689360.326476881,184433.0,19,T
2023/03/24/14:44:34.331827,0,67474,0,GPS1_FRAME,42.337465,-71.08960833333335,1.0,15.8,327857.370736275,4689360.326476881,184434.0,19,T
2023/03/24/14:44:35.331546,0,67475,0,GPS1_FRAME,42.337465,-71.08960833333335,1.0,15.8,327857.370736275,4689360.326476881,184435.0,19,T
2023/03/24/14:44:36.332199,0,67476,0,GPS1_FRAME,42.337465,-71.08960833333335,1.0,15.8,327857.370736275,4689360.326476881,184436.0,19,T
2023/03/24/14:44:37.333700,0,67477,0,GPS1_FRAME,42.337465,-71.08960833333335,1.0,15.8,327857.370736275,4689360.326476881,184437.0,19,T
2023/03/24/14:44:38.332329,0,67478,0,GPS1_FRAME,42.337465,-71.08960833333335,1.0,15.8,327857.370736275,4689360.326476881,184438.0,19,T
2023/03/24/14:44:39.331814,0,67479,0,GPS1_FRAME,42.337465,-71.08960833333335,1.0,15.8,327857.370736275,4689360.326476881,184439.0,19,T
2023/03/24/14:44:40.332271,0,67480,0,GPS1_FRAME,42.337465,-71.08960833333335,1.0,15.8,327857.370736275,4689360.326476881,184440.0,19,T
2023/03/24/14:44:41.332529,0,67481,0,GPS1_FRAME,42.337465,-71.08960833333335,1.0,15.8,327857.370736275,4689360.326476881,184441.0,19,T
2023/03/24/14:44:42.331532,0,67482,0,GPS1_FRAME,42.337465,-71.08960833333335,1.2,15.8,327857.370736275,4689360.326476881,184442.0,19,T
2023/03/24/14:44:43.332886,0,67483,0,GPS1_FRAME,42.337465,-71.08960833333335,1.2,15.8,327857.370736275,4689360.326476881,184443.0,19,T
2023/03/24/14:44:44.331830,0,67484,0,GPS1_FRAME,42.337465,-71.08960833333335,1.2,15.8,327857.370736275,4689360.326476881,184444.0,19,T
2023/03/24/14:44:45.332193,0,67485,0,GPS1_FRAME,42.337465,-71.08960833333335,1.0,15.8,327857.370736275,4689360.326476881,184445.0,19,T
2023/03/24/14:44:46.332774,0,67486,0,GPS1_FRAME,42.337465,-71.08960833333335,1.0,15.8,327857.370736275,4689360.326476881,184446.0,19,T
2023/03/24/14:44:47.332467,0,67487,0,GPS1_FRAME,42.337465,-71.08960833333335,1.0,15.8,327857.370736275,4689360.326476881,184447.0,19,T
2023/03/24/14:44:48.332782,0,67488,0,GPS1_FRAME,42.337465,-71.08960833333335,1.2,15.8,327857.370736275,4689360.326476881,184448.0,19,T
2023/03/24/14:44:49.333334,0,67489,0,GPS1_FRAME,42.337465,-71.08960833333335,1.2,15.8,327857.370736275,4689360.326476881,184449.0,19,T
2023/03/24/14:44:50.333204,0,67490,0,GPS1_FRAME,42.337465,-71.08960833333335,1.2,15.8,327857.370736275,4689360.326476881,184450.0,19,T
2023/03/24/14:44:51.334078,0,67491,0,GPS1_FRAME,42.337465,-71.08960833333335,1.2,15.8,327857.370736275,4689360.326476881,184451.0,19,T
2023/03/24/14:44:52.333362,0,67492,0,GPS1_FRAME,42.337465,-71.08960833333335,1.2,15.8,327857.370736275,4689360.326476881,184452.0,19,T
2023/03/24/14:44:53.333559,0,67493,0,GPS1_FRAME,42.337465,-71.08960833333335,1.2,15.8,327857.370736275,4689360.326476881,184453.0,19,T
2023/03/24/14:44:54.334245,0,67494,0,GPS1_FRAME,42.337465,-71.08960833333335,1.2,15.8,327857.370736275,4689360.326476881,184454.0,19,T
2023/03/24/14:44:55.333873,0,67495,0,GPS1_FRAME,42.337465,-71.08960833333335,1.2,15.8,327857.370736275,4689360.326476881,184455.0,19,T
2023/03/24/14:44:56.334008,0,67496,0,GPS1_FRAME,42.337465,-71.08960833333335,1.2,15.8,327857.370736275,4689360.326476881,184456.0,19,T
2023/03/24/14:44:57.334489,0,67497,0,GPS1_FRAME,42.337465,-71.08960833333335,1.2,15.8,327857.370736275,4689360.326476881,184457.0,19,T
2023/03/24/14:44:58.334236,0,67498,0,GPS1_FRAME,42.337465,-71.08960833333335,1.2,15.8,327857.370736275,4689360.326476881,184458.0,19,T
2023/03/24/14:44:59.334661,0,67499,0,GPS1_FRAME,42.337465,-71.08960833333335,1.2,15.8,327857.370736275,4689360.326476881,184459.0,19,T
2023/03/24/14:45:00.334343,0,67500,0,GPS1_FRAME,42.337465,-71.08960833333335,1.2,15.8,327857.370736275,4689360.326476881,184500.0,19,T
2023/03/24/14:45:01.335113,0,67501,0,GPS1_FRAME,42.337465,-71.08960833333335,1.2,15.8,327857.370736275,4689360.326476881,184501.0,19,T
2023/03/24/14:45:02.335252,0,67502,0,GPS1_FRAME,42.337465,-71.08960833333335,1.2,15.8,327857.370736275,4689360.326476881,184502.0,19,T
2023/03/24/14:45:03.335094,0,67503,0,GPS1_FRAME,42.337465,-71.08960833333335,1.2,15.7,327857.370736275,4689360.326476881,184503.0,19,T
2023/03/24/14:45:04.335601,0,67504,0,GPS1_FRAME,42.337465,-71.08960833333335,1.2,15.7,327857.370736275,4689360.326476881,184504.0,19,T
2023/03/24/14:45:05.335131,0,67505,0,GPS1_FRAME,42.337465,-71.08960833333335,1.2,15.7,327857.370736275,4689360.326476881,184505.0,19,T
2023/03/24/14:45:06.335369,0,67506,0,GPS1_FRAME,42.337465,-71.08960833333335,1.2,15.7,327857.370736275,4689360.326476881,184506.0,19,T
2023/03/24/14:45:07.335229,0,67507,0,GPS1_FRAME,42.337465,-71.08960833333335,1.2,15.7,327857.370736275,4689360.326476881,184507.0,19,T
2023/03/24/14:45:08.335372,0,67508,0,GPS1_FRAME,42.337465,-71.08960833333335,1.2,15.7,327857.370736275,4689360.326476881,184508.0,19,T
2023/03/24/14:45:09.363018,0,67509,0,GPS1_FRAME,42.337465,-71.08960833333335,1.2,15.7,327857.370736275,4689360.326476881,184509.0,19,T
2023/03/24/14:45:10.336401,0,67510,0,GPS1_FRAME,42.337465,-71.08960833333335,1.0,15.7,327857.370736275,4689360.326476881,184510.0,19,T
2023/03/24/14:45:11.336997,0,67511,0,GPS1_FRAME,42.337465,-71.08960833333335,1.0,15.7,327857.370736275,4689360.326476881,184511.0,19,T
2023/03/24/14:45:12.337158,0,67512,0,GPS1_FRAME,42.337465,-71.08960833333335,1.0,15.7,327857.370736275,4689360.326476881,184512.0,19,T
2023/03/24/14:45:13.338732,0,67513,0,GPS1_FRAME,42.337465,-71.08960833333335,1.0,15.7,327857.370736275,4689360.326476881,184513.0,19,T
2023/03/24/14:45:14.337009,0,67514,0,GPS1_FRAME,42.337465,-71.08960833333335,1.0,15.7,327857.370736275,4689360.326476881,184514.0,19,T
2023/03/24/14:45:15.337116,0,67515,0,GPS1_FRAME,42.337465,-71.08961,1.0,15.7,327857.2334299725,4689360.329851012,184515.0,19,T
2023/03/24/14:45:16.336959,0,67516,0,GPS1_FRAME,42.337465,-71.08961,1.0,15.7,327857.2334299725,4689360.329851012,184516.0,19,T
2023/03/24/14:45:17.337273,0,67517,0,GPS1_FRAME,42.337465,-71.08961,1.0,15.7,327857.2334299725,4689360.329851012,184517.0,19,T
