Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,imu.header.seq,imu.header.stamp.secs,imu.header.stamp.nsecs,imu.header.frame_id,imu.orientation.x,imu.orientation.y,imu.orientation.z,imu.orientation.w,imu.orientation_covariance,imu.angular_velocity.x,imu.angular_velocity.y,imu.angular_velocity.z,imu.angular_velocity_covariance,imu.linear_acceleration.x,imu.linear_acceleration.y,imu.linear_acceleration.z,imu.linear_acceleration_covariance,mag_field.header.seq,mag_field.header.stamp.secs,mag_field.header.stamp.nsecs,mag_field.header.frame_id,mag_field.magnetic_field.x,mag_field.magnetic_field.y,mag_field.magnetic_field.z,mag_field.magnetic_field_covariance,VNYMR
1679683297.2813284,13550,1679683297,273661613,IMU1_Frame,0,0,0,,0.05918480134824226,0.00037767223408854793,-0.9687323657738387,0.24094526381581813,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.000274,0.000592,-0.00014,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.11,-0.274,-9.772,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.4964,0.2472,0.5133,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,-151.973,+006.595,+001.603,-00.4964,+00.2472,+00.5133,+01.110,-00.274,-09.772,+00.000274,+00.000592,-00.000149*6B\r\n'"
1679683297.3047926,13551,1679683297,297106266,IMU1_Frame,0,0,0,,0.05916790057101789,0.00037343969532252323,-0.9687332805530527,0.24094574334014007,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.000427,-2.3e-05,0.00052,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.133,-0.254,-9.756,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.4901,0.2471,0.5135,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,-151.973,+006.593,+001.603,-00.4901,+00.2471,+00.5135,+01.133,-00.254,-09.756,-00.000427,-00.000023,+00.000529*65\r\n'"
1679683297.3299327,13552,1679683297,322040081,IMU1_Frame,0,0,0,,0.05916790057101789,0.00037343969532252323,-0.9687332805530527,0.24094574334014007,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.000194,0.001187,0.00069,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.11,-0.25,-9.793,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.4942,0.2516,0.5159,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,-151.973,+006.593,+001.603,-00.4942,+00.2516,+00.5159,+01.110,-00.250,-09.793,+00.000194,+00.001187,+00.000698*6E\r\n'"
1679683297.3546247,13553,1679683297,347027778,IMU1_Frame,0,0,0,,0.05915945017564654,0.00037132342589676903,-0.9687337378319997,0.2409459830747774,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.000209,0.000916,-0.00024,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.113,-0.267,-9.762,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.4953,0.2494,0.5146,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,-151.973,+006.592,+001.603,-00.4953,+00.2494,+00.5146,+01.113,-00.267,-09.762,+00.000209,+00.000916,-00.000246*64\r\n'"
1679683297.379519,13554,1679683297,372049331,IMU1_Frame,0,0,0,,0.059161555988138145,0.00036235334727510553,-0.9687358436444914,0.24093701299615605,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.000483,0.000413,-0.00023,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.113,-0.25,-9.792,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.4964,0.2506,0.5133,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,-151.974,+006.592,+001.604,-00.4964,+00.2506,+00.5133,+01.113,-00.250,-09.792,-00.000483,+00.000413,-00.000230*68\r\n'"
1679683297.4078934,13555,1679683297,397216558,IMU1_Frame,0,0,0,,0.059157347523031895,0.0003797772225326828,-0.9687337345547049,0.24094649932919748,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.000495,7.3e-05,-7e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.137,-0.276,-9.777,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.4933,0.2449,0.5147,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,-151.973,+006.592,+001.602,-00.4933,+00.2449,+00.5147,+01.137,-00.276,-09.777,-00.000495,+00.000073,-00.000073*6B\r\n'"
1679683297.432512,13556,1679683297,422172784,IMU1_Frame,0,0,0,,0.05916788749946626,0.00037550504444751505,-0.9687248693697883,0.24097955836397938,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.00117,-0.000207,-0.00085,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.13,-0.265,-9.764,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.4911,0.246,0.5147,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,-151.969,+006.593,+001.603,-00.4911,+00.2460,+00.5147,+01.130,-00.265,-09.764,+00.001170,-00.000207,-00.000857*6C\r\n'"
1679683297.47798,13557,1679683297,447186708,IMU1_Frame,0,0,0,,0.059178443974815156,0.0003686514642036627,-0.9687265181837975,0.24097034845041423,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.000694,0.000515,0.00026,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.129,-0.266,-9.77,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.4922,0.2482,0.5159,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,-151.970,+006.594,+001.604,-00.4922,+00.2482,+00.5159,+01.129,-00.266,-09.770,+00.000694,+00.000515,+00.000264*6B\r\n'"
1679683297.5221503,13558,1679683297,472109556,IMU1_Frame,0,0,0,,0.059184791440523986,0.00037922168843494523,-0.968726057509604,0.2409706250872747,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.00034,0.00086,0.00143,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.124,-0.255,-9.78,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.4922,0.246,0.5134,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,-151.970,+006.595,+001.603,-00.4922,+00.2460,+00.5134,+01.124,-00.255,-09.780,+00.000340,+00.000860,+00.001434*69\r\n'"
1679683297.5222113,13559,1679683297,497025728,IMU1_Frame,0,0,0,,0.05918903950442554,0.0003977291084192834,-0.9687276960479034,0.2409629646311246,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.000335,-0.000239,0.00095,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.121,-0.247,-9.773,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.4965,0.245,0.5121,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,-151.971,+006.596,+001.601,-00.4965,+00.2450,+00.5121,+01.121,-00.247,-09.773,-00.000335,-00.000239,+00.000958*65\r\n'"
1679683297.5660093,13560,1679683297,522232055,IMU1_Frame,0,0,0,,0.059197489849016585,0.0003998455172304731,-0.9687272384411106,0.24096272496259122,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.000114,0.000124,0.00038,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.124,-0.247,-9.755,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.4964,0.2472,0.5082,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,-151.971,+006.597,+001.601,-00.4964,+00.2472,+00.5082,+01.124,-00.247,-09.755,+00.000114,+00.000124,+00.000385*68\r\n'"
1679683297.5660555,13561,1679683297,546992778,IMU1_Frame,0,0,0,,0.05918058915532699,0.0003956126995778037,-0.9687281535809235,0.24096320428130757,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.000791,0.000374,0.00069,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.066,-0.278,-9.781,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.4964,0.2495,0.512,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,-151.971,+006.595,+001.601,-00.4964,+00.2495,+00.5120,+01.066,-00.278,-09.781,+00.000791,+00.000374,+00.000693*66\r\n'"
1679683297.6100392,13562,1679683297,572126150,IMU1_Frame,0,0,0,,0.0591721422333714,0.00039297991636744363,-0.9687307138060206,0.24095499015205452,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.000683,0.000776,-0.00026,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.111,-0.277,-9.773,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.4963,0.2528,0.5158,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,-151.972,+006.594,+001.601,-00.4963,+00.2528,+00.5158,+01.111,-00.277,-09.773,+00.000683,+00.000776,-00.000265*67\r\n'"
1679683297.6100721,13563,1679683297,597136020,IMU1_Frame,0,0,0,,0.05915099008967849,0.00037075572586894347,-0.9687278867478324,0.24097158411041192,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.001274,-0.000158,-0.00098,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.109,-0.289,-9.778,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.4965,0.2439,0.5146,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,-151.970,+006.591,+001.603,-00.4965,+00.2439,+00.5146,+01.109,-00.289,-09.778,+00.001274,-00.000158,-00.000983*6B\r\n'"
1679683297.6538708,13564,1679683297,622048139,IMU1_Frame,0,0,0,,0.05915099008967849,0.00037075572586894347,-0.9687278867478324,0.24097158411041192,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.000789,0.001404,-0.0001,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.094,-0.251,-9.797,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.4943,0.2483,0.5172,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,-151.970,+006.591,+001.603,-00.4943,+00.2483,+00.5172,+01.094,-00.251,-09.797,+00.000789,+00.001404,-00.000109*6F\r\n'"
1679683297.6538887,13565,1679683297,646887063,IMU1_Frame,0,0,0,,0.059142539740703985,0.00036863923515645207,-0.9687283438729576,0.2409718238203187,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.001225,0.001193,-0.00017,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.151,-0.263,-9.758,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.4932,0.2472,0.5134,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,-151.970,+006.590,+001.603,-00.4932,+00.2472,+00.5134,+01.151,-00.263,-09.758,+00.001225,+00.001193,-00.000176*6F\r\n'"
